Date,Entrée,Plat,Légumes,Laitage,Dessert,Gouter,Température,Humidité,Vitesse du vent moyen 10 mn,Attente moyenne
2024-06-08,Betteraves persillées,,Lentilles,Fromage,Fruit,Pain/ compote/ lait,17.7,84,0.9,4.62066923913094
2024-06-09,Salade de croûton,Lasagnes OU Lasagnes de légumes *,,Yaourt,Figues,Pain / beurre / barre chocolatée / lait,6.20000000000005,56,4.7,9.30702448030135
2024-06-10,ferme,ferme,ferme,ferme,ferme,ferme,11.5,68,3.9,20.5519058990904
2024-06-11,Chou rouge vinaigrette,Riz safrané,,Yaourt à la vanille,Spéculoos,"Pain / beurre
Compote de pomme-poire
Lait",14.7,62,2.9,0.0
2024-06-12,Salade de pâtes au thon,Jambon braisé OU Rôti de dinde sauce barbecue,Jardinière de légumes d'été,Fromage,Fruit de saison,Pain / confiture / yaourt nature,19.5,78,2.5,36.7234280153928
2024-06-13,"Thon, maïs, salade, fromage",Rôti de veau au jus,Légumes de tajine,,Compote/ palet breton,Pain/ beurre/ pomme/ lait,13.2,71,4.3,0.0
2024-06-14,ferme,ferme,ferme,ferme,ferme,ferme,20.6,58,1.7,0.0
2024-06-15,Saucisson à l'ail OU Betteraves,Filet de saumon sauce oseille,Riz pilaf,Fromage,Fruit de saison,"Pain / beurre
Corbeille de fruits
Lait ou fromage",19.2,39,6.1,15.8057767313763
2024-06-16,Salade carodis,Brandade de poisson,Salade verte,,Ile flottante crème anglaise,Pain / beurre / pomme /lait,15.9,83,5.5,1.68757004773482
2024-06-17,Betteraves cuites mimosa,Gratin de pommes de terre fromagé,Salade verte,,Brugnon,Pain/ beurre/ corbeille de fruits/ lait ou fromage,17.9,73,3.3,15.4396574575187
2024-06-18,Émincé de radis vinaigrette,Escalope de dinde label sauce paprika,Salsifis panachés,Île flottante,,Petits beurre/ clémentines/ lait,12.1,71,7.1,0.0
2024-06-19,Betteraves crues râpées/ œuf,Gratin de pommes de terre au fromage,Salade verte,Crème au chocolat,,Petit beurre/ orange/ lait chaud,10.0,75,5.1,19.650587883311
2024-06-20,Betteraves et dés de fromage de chèvre au miel,Sauté de porc sauce chataîgne OU Rôti de dinde OU Croustillant fromager*,Haricots blancs,,Compote de pomme-abricot,"Pain / beurre
Barre chocolatée
Lait",10.5,93,3.0,15.6261647293285
2024-06-21,Chou rouge aux raisins,Riz safrané aux légumes,Salade verte,Fromage,Compote pommes / cassis,Pain/ beurre/ barre chocolatée/ lait,14.5,90,3.2,0.0
2024-06-22,Taboulé,Poulet OU Galette de soja au citron*,Haricots beurre,Yaourt,Figuettes,"Pain / beurre
Barre chocolatée
Lait",7.70000000000005,53,5.1,24.0260060730908
2024-06-23,"Salade fantaisie (céleri, pomme, raisin sec)",Sauté de porc ou de poulet agenais,Riz pilaf,Yaourt nature sucré,,Pain/ compote/ lait,16.1,74,4.6,39.5477845359836
2024-06-24,Pamplemousse,Omelette,Haricots beurre,Fromage blanc,Petits beurre,Pain/ compote/ lait,9.5,68,5.8,0.0
2024-06-25,Betteraves crues râpées/ œuf,Gratin de pommes de terre au fromage,Salade verte,Crème au chocolat,,Petit beurre/ orange/ lait chaud,10.0,75,5.1,4.91625236427266
2024-06-26,,"Hamburger (galette végé, guacamole, fromage, salade)",Frites,,Cône glacé,"Pain / beurre
Corbeille de fruits
Lait ou fromage",15.7,57,4.6,0.0
2024-06-27,Carottes vinaigrette,Galette tomate fromage,Salade verte,,Crêpe au chocolat,"Barre bretonne
Fromage blanc",17.0,87,5.8,0.0
2024-06-28,Radis,Bœuf marocain,Pommes persillées,Yaourt nature sucré,,Pain/ confiture de fraises/ lait,13.5,67,4.3,3.16939946712271
2024-06-29,Crème de carottes,Omelette,Ratatouille/ pomme de terre,,Fruit de saison,Pain/ confiture/ lait,8.20000000000005,68,3.0,0.0
2024-06-30,Pâté de campagne/ cornichons,Filet de lieu sauce crevette,Riz créole,Gouda,Banane,Pain/ beurre/ corbeille de fruits/ lait ou fromage,10.0,76,4.1,0.886068879914082
2024-07-01,REPAS DE NOËL,REPAS DE NOËL,REPAS DE NOËL,,REPAS DE NOËL,"Pain au lait
Jus de pomme
Fromage blanc",4.10000000000002,43,5.9,0.0
2024-07-02,Carottes aux raisins,Sauté de poulet barbecue OU Boulettes de lentilles*,Frites,Crème au chocolat,,"Pain / beurre
Barre chocolatée
Lait",15.3,59,2.2,21.3539197368248
2024-07-03,Crème de carottes,Gratin de pommes de terre au fromage frais,,,Fruit de saison,Pain/ beurre/ barre chocolatée/ lait,17.0,88,5.8,14.0969261951013
2024-07-04,Betteraves cuites,Jambon braisé au jus,Lentilles cuisinées,Edam,Pomme,Petits suisses/ cake aux fruits,14.6,69,4.9,3.21762889453686
2024-07-05,,,,,,,19.0,64,4.0,0.0
2024-07-06,Tomates au basilic,Sauté de porc charcutier OU Rôti de dinde charcutière,Brocolis panachés,Fromage,Fruit de saison,Pain au lait/ jus de fruits,21.5,58,3.2,0.0
2024-07-07,Taboulé,Rôti de porc au jus,Épinards béchamel,Saint Nectaire,Brugnon,Barre bretonne/ prunes/ lait,21.9,71,1.5,46.9511422564528
2024-07-08,Betteraves/ dés de fourme d'Ambert,Gratin de boulgour,Salade verte,,Fruit de saison,Pain/ beurre/ barre chocolatée/ lait,10.9,82,8.4,20.7447313653859
2024-07-09,"Coleslaw (chou blanc, carotte, raisin sec,mayonnaise)",Rôti de porc OU Rôti de dinde OU Galette Yumi texas*,Haricots blancs,Fromage,Cocktail de fruits,"Pain / beurre
Figuettes
Yaourt nature",14.8,89,1.6,31.5563969623464
2024-07-10,Pamplemousse,Rôti de dinde au jus,Petits pois,Crème chocolat,Petit beurre,Pain/ beurre/ pomme/ lait,22.4,79,4.1,15.7539099567989
2024-07-11,Rilettes OU betteraves,Filet de lieu beurre citron,Petits pois,Fromage,Figuettes,Pain/ beurre/ corbeille de fruits/ lait ou fromage,16.8,84,5.4,23.7366817788161
2024-07-12,Chou rouge/ pommes de terre,Aiguillettes poulet sauce louisiane,Haricots verts,Petits suisses,Fruit de saison,Mini quatre-quarts/ compote de poire/ lait,13.3,74,1.4,0.0
2024-07-13,Potage de légumes,Saucisse grillée,Choux braisés/ pommes de terre,,Far aux pommes,Compote de pêches/ petits beurre/ lait,11.1,86,2.2,14.764115042139
2024-07-14,Salade verte,,Piémontaise au thon,Fromage,Compote,,22.7,54,,0.0
2024-07-15,Carottes aux dés d'ananas,Filet de lieu sauce crevette,Riz pilaf,Carré frais,Abricots,Barre bretonne/ pche/ lait,27.1,56,4.5,7.42035229888696
2024-07-16,,Galette tomate fromage,Salade verte,,Crèpe au sucre,"Semoule au lait
Raisins secs",11.7,66,6.1,9.59039038083987
2024-07-17,Pastque,Steak haché,Coquillettes,Emmenthal,Cocktail de fruits,Pain/ beurre/ Pche/ lait,23.6,67,1.5,0.0
2024-07-18,Carottes aux dés de gruyère,Couscous de légumes,,Yaourt à la pulpe de fruits,,Pain/ beurre/ barre chocolatée/ lait,12.0,72,1.7,6.75858118406371
2024-07-19,Pamplemousse,Tartiflette,Salade verte,,Compote pommes/ cassis,Pain/ beurre/ barre chocolatée/ lait,10.9,98,1.2,11.3478898437218
2024-07-20,ferme,ferme,ferme,ferme,ferme,ferme,18.2,61,3.0,0.0
2024-07-21,Betteraves / 1/2 œuf dur,Gratin de boulgour,Salade verte,Yaourt aux fruits des bois,,Pain/ beurre/ barre chocolatée/ lait,13.4,99,0.8,9.28325962329812
2024-07-22,Salade de tomates,Poulet label rôti,Jardinire fra”che,Edam,Pche,Pain/ beurre/ corbeille de fruits/ lait ou fromage,21.2,58,0.6,0.0
2024-07-23,Salade de pommes de terre au thon,"Jambon braisé, sauce chasseur OU röti de dinde label",Salsifis panachés,Fromage,Fruit,Madeleine/ compote/ lait,14.7,69,7.3,22.750107332215
2024-07-24,,,,,,,10.4,55,5.6,0.0
2024-07-25,"Salade d'automne (pomme, céleri,carotte, raisin sec)",Filet de saumon sauce oseille,Riz/ poêlée de légumes,,Éclair au chocolat,Pain/ beurre/ corbeille de fruits/ lait ou fromage,2.10000000000002,76,2.7,11.2287871752629
2024-07-26,Blé aux légumes,Lieu noir à la tomate,Courgettes persillées et pommes de terre,Fromage,Fruit de saison,"Pain / beurre
Corbeille de fruits
Lait ou fromage",16.7,60,4.4,0.0
2024-07-27,Rillettes/ cornichons ou macédoine vinaigrette,Filet de lieu sauce crevette,Riz créole/ brocolis,Emmental,Clémentines,Pain/ beurre/ corbeille de fruits/ lait/ fromage,9.40000000000003,76,4.2,24.6223083626458
2024-07-28,Blé aux légumes,Sauté de dinde label agenais,Haricots beurre,Fromage,Fruit,Cake aux pépites de chocolat/ lait chaud,17.7,74,3.9,0.0
2024-07-29,Salade aux croûtons / fromage,Rôti de porc au jus ou rôti de dinde au jus,Salsifis panachés,,Compote tous fruits,Pain/ beurre/ barre chocolatée/ lait,10.3,78,5.5,6.38066366687187
2024-07-30,Melon,Sauté de dinde aux olives,Carottes à la crème,,Flan pâtissier,Pain/ confiture/ lait,20.7,64,1.2,8.97681261059315
2024-07-31,Saucisson à l'ail/ salade,Filet de lieu sauce tomate,Brocolis,Saint Nectaire,Pomme,Pain/ beurre/ banane/ lait,9.5,99,1.0,0.0
2024-08-01,Radis et rondelé nature,Parmentier crécy OU Boulette de lentilles*,Salade verte,,Compote de framboises,"Pain 
Confiture
Petits suisses aux fruits",15.6,63,1.8,0.0
2024-08-02,Saucisson salade verte OU Betteraves,Filet de lieu sauce suchet,Brocolis panachés,Fromage,Banane équitable,Pain / beurre/ corbeille de fruits/ lait ou fromage,9.20000000000004,91,2.9,28.8893801256872
2024-08-03,Betteraves cuites,Galette saucisse de porc ou de dinde,Salade verte,Saint Paulin,Orange,Pain/ beurre/ corbeille de fruits/ lait ou fromage,12.3,81,7.2,17.1131863314445
2024-08-04,"Salade fromagère (salade verte, gruyère)",Blanquette de veau à l'ancienne,Riz pilaf,,Compote de pommes,Mini quatre-quarts/ clémentine/ lait,14.1,90,8.2,1.22070752644971
2024-08-05,Betteraves vinaigrette,Poisson pané beurre citron,Riz basmati,Petits suisses,Fruit de saison,Pain/ confiture/ lait,9.70000000000004,87,4.1,26.3148511604794
2024-08-06,Blé aux légumes,Sauté de dinde label agenais,Haricots beurre,Fromage,Fruit,Cake aux pépites de chocolat/ lait chaud,17.7,74,3.9,23.1602568518853
2024-08-07,Betteraves cuites mimosa,Gratin de pommes de terre fromagé,Salade verte,,Brugnon,Pain/ beurre/ corbeille de fruits/ lait ou fromage,17.9,73,3.3,0.0
2024-08-08,Saucisson à l'ail/ cornichons,Filet de lieu sauce tomate,Légumes de pot-au-feu,,Brioche,Pain/ beurre/ corbeille de fruits/ lait ou fromage,-0.399999999999977,100,2.2,49.0231508904848
2024-08-09,Carottes à l'orientale,Couscous à la dinde OU Couscous de légumes *,,Fromage blanc,Figuettes,"Pain / beurre
Pomme
Lait",10.8,59,3.4,0.0
2024-08-10,Radis,Röti de bœuf,Coquillettes,Morbier,Poire,Pain/ compote/ lait,11.8,79,6.2,2.72627092375401
2024-08-11,Melon,Bolognaise OU Boulette de lentilles*,Pâtes,Yaourt,,"Pain / beurre
Raisin blanc
Lait",20.9,82,3.5,5.97968610914596
2024-08-12,Céléri fromage blanc,Lasagne OU lasagne de légumes*,Salade verte,,Compote pomme cassis,Pain / beurre/ barre chocolatée/ lait,15.7,80,6.6,1.57358663803011
2024-08-13,Potage de légumes,Parmentier de légumes,,Fromage,Fruit de saison,Pain/ compote/ lait,9.20000000000004,94,0.8,29.3505132832324
2024-08-14,Carottes râpées vinaigrette,Filet de lieu beurre citron,Pommes de terre vapeur,Fromage,Compote,Pain / beurre/ corbeille de fruits/ lait ou fromage,10.2,91,4.4,39.3052456601089
2024-08-15,Betteraves mimosa,Riz safrané,,Fromage,Fruit de saison,Pain/ beurre/ barre chocolatée/ lait,18.2,76,1.9,0.0
2024-08-16,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,22.6,52,3.0,0.0
2024-08-17,Chou fleur mimosa,Brandade de poisson,,,Fruit de saison,"Cake aux pépites de chocolat
Fromage blanc",12.2,59,3.3,7.62877330743041
2024-08-18,"Salade bicolore (chou rouge et blanc, pomme, raisin sec)",Sauté de porc à l'indienne,Carottes ménagères,,Far breton aux pommes,Pain/ beurre/ barre chocolatée/ lait,11.0,98,3.6,10.3387692597707
2024-08-19,Pâté de campagne cornichon OU Macédoine,Lieu noir beurre citron,Jardinière de légumes,Fromage,Banane équitable,"Pain 
Corbeille de fruits 
Lait ou fromage",12.4,68,5.6,0.0
2024-08-20,Choux rouge/ pommes/ raisins,Rôti de dinde label aux herbes,Haricots verts,,Semoule au lait,Petit beurre/ compote/ lait,6.70000000000005,72,7.2,7.71216173289917
2024-08-21,Taboulé,"Sauté de bœuf, sauce marocaine",,Fromage,Fruit de saison,Pain/ beurre/ barre chocolatée/ lait,19.3,78,4.5,51.2722223873351
2024-08-22,Potage de légumes,Gnocchi à la romaine,Salade verte,,Fruit de saison,Pain / beurre/ barre chocolatée/ lait,3.30000000000001,92,10.7,12.5461754379692
2024-08-23,Radis,Sauté de bœuf aux olives,Haricots beurre,Emmenthal,Compote de pommes/ cassis,Pain/ beurre/ banane/ lait,17.6,70,1.9,6.99505901119515
2024-08-24,Rillettes/ salade,Filet de lieu sauce crevette,Gratin d'épinards panachés,Tome des Pyrénées,Banane,Pain/ beurre/ corbeille de fruits/ lait ou fromage,21.1,74,2.1,0.0
2024-08-25,ferme,ferme,ferme,ferme,ferme,ferme,12.9,65,4.8,41.2804650677433
2024-08-26,Potage de légumes,Filet de lieu sauce beurre blanc,Julienne de légumes d'hiver,Semoule au lait,,Biscuit goûter/ compote/ lait,3.30000000000001,99,1.1,0.0
2024-08-27,Pamplemousse,Pot-au-feu et ses légumes,,,Riz au lait,Pain/ confiture/ lait,6.90000000000003,82,6.0,43.4757682287346
2024-08-28,Radis,Courgettes parmentieres,Salade verte,Yaourt à la myrtille,Spéculoos,Pain/ beurre/ pomme/ lait,20.9,71,1.2,0.0
2024-08-29,Carottes aux raisins secs,Poulet rôti label,Frites,Carré frais,Compote de pomme,Pain/ beurre/ barre chocolatée/ lait,14.0,95,2.0,3.88586073425523
2024-08-30,"Salade fantaisie (céleri, pomme, raisin sec)",Poisson pané beurre citron,Jardinière de légumes,Riz au lait,,Pain/ beurre/ poire/ lait,16.1,91,3.4,0.0
2024-08-31,Concombre vinaigrette,Riz safrané aux légumes,,,Crème vanille nappé de caramel,Barre bretonne/ pêche/ lait,19.1,83,3.3,10.5998929481969
2024-09-01,Melon,Omelette,Ratatouille,Fromage blanc,Spéculos,Pain beurre/ brugnon/ lait,25.1,58,2.6,15.4271988790749
2024-09-02,Salade aux croûtons,Sot-l'y-laisse de dinde label sauce champignons,Haricots verts,Riz au lait,,Pain/ beurre/ barre chocolatée/ lait,15.3,67,8.4,0.0
2024-09-03,Betteraves/ vinaigrette,Timbale milanaise OU dés de dinde,Salade verte,,Fruit de saison,Pain d'épice/ clémentines/ lait,8.5,61,6.9,0.0
2024-09-04,,,,,,,11.6,51,6.5,0.0
2024-09-05,"Pâté de campagne, Cornichons ou betteraves",Filet de saumon sauce oseille,Gratin de choux-fleurs panachés,Saint-Paulin,Banane,Pain/ beurre/ corbeille de fruits/ lait/ fromage,8.80000000000001,70,6.7,0.0
2024-09-06,Taboulé,Poulet sauce barbecue OU Galette de tomate,Petits pois,Fromage,Fruit de saison,"Pain / beurre
Barre chocolatée
Lait",17.4,58,4.6,0.0
2024-09-07,Pastèque,Gratin de pâtes au thon,,,Compote pomme-fraise,"Pain / beurre
Corbeille de fruits
Lait ou fromage",17.4,70,8.2,0.0
2024-09-08,Blé au thon,Jambon braisé sauce forestière OU Rôti de dinde OU Aiguillettes de blé*,Haricots verts persillés,Fromage,Fruit de saison,"Cake aux pépites de chocolat
Compote pomme-framboise",12.8,85,2.4,6.99049722174842
2024-09-09,Radis et rondelé nature,Parmentier de potiron OU Boulette de lentilles*,,,Grillé aux pommes,"Pain 
Confiture
Lait",12.8,82,3.6,14.961819175047
2024-09-10,Tomate vinaigrette,Escalope de porc sauce forestière ou Rôti de dinde,Haricots beurre,Semoule au lait,,Petits suisses aux fruits / barre bretonne,17.9,65,0.7,9.32938693845978
2024-09-11,Radis/ rondelé nature,Hachis parmentier,Salade verte,,Compote pommes/ cassis,Pain/ beurre/ banane équitable/ lait,12.3,71,9.5,25.6218981840219
2024-09-12,Œuf / salade verte,,Gratin de boulghour,Fromage blanc / confiture de fraises,,Pain/ beurre/ barre chocolatée/ lait,11.8,77,,0.0
2024-09-13,Radis croc' fromage frais,Sauté de veau à la milanaise OU Galette de tomate*,Pâtes,,Crèpes,"Madeleine
Crème à la vanille",17.9,40,1.3,0.0
2024-09-14,ferme,ferme,ferme,ferme,ferme,ferme,16.6,82,2.9,0.0
2024-09-15,Saucisson salade verte OU Betteraves,Filet de lieu sauce suchet,Brocolis panachés,Fromage,Banane équitable,Pain / beurre/ corbeille de fruits/ lait ou fromage,9.20000000000004,91,2.9,28.8893801256872
2024-09-16,Pamplemousse,Lasagne de bœuf,Salade verte,Yaourt aux fruits des bois,,Pain/ beurre/ barre chocolatée/ lait,17.5,72,2.1,0.0
2024-09-17,"Salade bicolore (chou rouge et blanc, pomme, raisin sec)",Filet de saumon,Gratin d'épinards panaché,Fromage,Compote pomme/ cassis,Pain/ beurre/ corbeille de fruits/ lait ou fromage,11.7,53,3.0,0.0
2024-09-18,"Salade carodis (carotte, radis noir, persil)",Saucisse,Lentilles,Edam,Compote tous fruits,Pain/ beurre/ orange/ lait,12.7,98,4.2,5.80651762636356
2024-09-19,Asperges sauce mousseline,Brandade de poisson,,Fromage,Fruit de saison,Mini quatre-quarts/ compote / lait,15.4,40,6.7,0.0
2024-09-20,Salade de lentilles/ cossettes de fromage,Escalope de porc OU rôti de dinde,Brocolis,,Fruit de saison,Fromage blanc/ raisins secs,10.1,71,2.8,0.0
2024-09-21,Pâté de campagne cornichon OU Betteraves,Saumon,Épinards béchamel,Fromage,Fruit de saison,"Pain / beurre
Corbeille de fruit
Lait ou fromage",14.3,94,7.5,15.3357109291897
2024-09-22,"Salade pasta (tagliatelle, tomate, haricot vert, poivron)",Sauté de porc dijonnaise,Salsifis panachés,Camembert,Abricots,Pain/ beurre/ barre chocolatée/ lait,17.5,65,3.8,19.5300258728594
2024-09-23,Salade de pommes de terre/ thon,Rôti de porc au jus,Petits pois cuisinés,Camembert,Pomme,Pain/ beurre/ barre chocolatée/ lait,18.3,61,4.9,8.08391921030803
2024-09-24,Carottes rapées vinaigrette,Haricots blancs à la provençale,Riz,Fromage,Cocktail de fruits,"Pain / beurre
Barre chocolatée
Lait",7.30000000000001,45,5.7,0.0
2024-09-25,Radis et rondelé nature,Parmentier crécy OU Boulette de lentilles*,Salade verte,,Compote de framboises,"Pain 
Confiture
Petits suisses aux fruits",15.6,63,1.8,0.0
2024-09-26,Betteraves / 1/2 œuf dur,Gratin de boulgour,Salade verte,Yaourt aux fruits des bois,,Pain/ beurre/ barre chocolatée/ lait,13.4,99,0.8,9.28325962329812
2024-09-27,Pamplemousse,Rôti de veau au jus,Haricots verts,,Far aux pommes,Pain/ beurre/ prunes/ lait,20.9,78,3.2,0.0
2024-09-28,Betteraves crues / œufs durs,Couscous de légumes,,Crme vanille,,Pain au lait/ jus de fruits,19.4,75,4.2,7.51147224670659
2024-09-29,Betteraves / 1/2 œuf dur,Gratin de boulgour,Salade verte,,Fruit de saison,Pain/ beurre/ barre chocolatée/ lait,10.8,51,6.9,5.58905063389535
2024-09-30,"Rillette, cornichon OU macédoine",Filet de lieu beurre ciboulette,Choux-fleurs panachée,,Fruit de saison,Pain/ beurre/ corbeille de fruits / lait ou fromage,15.3,95,3.7,0.0
2024-10-01,Saucisse à l'ail/ salade verte OU macédoine,Saumon sauce au beurre blanc,Pommes vapeur,Fromage,Fruit de saison,Pain/ beurre/ corbeille de fruits/ lait ou fromage,17.2,67,5.3,0.0
2024-10-02,ferme,ferme,ferme,ferme,ferme,ferme,17.7,75,5.8,5.00785241789162
2024-10-03,Potage poireaux / pommes de terre,Steak haché,Petits pois à la française,Petits suisses,Clémentines,Crème caramel/ galette bretonne,10.4,86,5.5,11.2753283875323
2024-10-04,Salade aux croétons,Sauté de porc dijonnais,Flageolets,Gouda,Pomme,Pain/ beurre/ compote de fraises/ lait,17.9,64,8.6,0.0
2024-10-05,Melon,Parmentier de crécy,Salade verte,Fromage,Compote tous fruits,Pain/ confiture/ lait,13.5,96,3.8,0.0
2024-10-06,Radis,Rôti de bœuf au jus,Haricots beurre,Fromage,Compote de pomme,Pain/ beurre/ kiwi/ lait,13.0,95,3.0,0.0
2024-10-07,Carottes aux noix,Omelette,Ratatouille et pommes de terre,Semoule au lait,,"Pain / beurre
Barre chocolatée
Lait",12.4,75,3.7,0.0
2024-10-08,"Salade fromagère (salade verte, gruyère râpé)",Tajine de veau aux pruneaux,Semoule aux épices,,Compote de pommes,Pain/ confiture d'abricots/ lait,6.70000000000005,67,4.4,0.0
2024-10-09,"Riz niçois (riz, cornichon,tomate, petit pois, poivron)",Sauté label antillais,Carottes vichy,Emmenthal,Nectarine,Pain/ beurre/ barre chocolatée/ lait,18.9,77,3.1,0.0
2024-10-10,Radis rapés au fromage blanc,Rôti de bœuf froid,Frites,Yaourt nature,,Pain/ beurre/ corbeille de fruits/ lait ou fromage,19.7,79,4.3,0.0
2024-10-11,Céleri rémoulade,Filet de lieu sauce hollandaise,Fondue de poireaux,Crème au chocolat,,Pain/ beurre/ corbeille de fruits/ lait ou fromage,19.1,88,4.1,0.0
2024-10-12,Duo de carottes/ courgettes/ vinaigrette,Chili de légumes,,Yaourt nature,,Pain/ crème de gruyère,17.8,90,1.2,2.58439942677696
2024-10-13,Potage poireaux / pommes de terre,Timbale milanaise,,Edam,Orange,Madeleine/ petits suisses,15.1,57,4.6,11.7615339541804
2024-10-14,"Cœur de palmier, tomate, maïs",,Flageolets,Fromage,Fruit,Pain/ compote/ lait,19.1,82,3.3,0.0
2024-10-15,Chou rouge vinaigrette,Riz safrané,,Yaourt à la vanille,Spéculoos,"Pain / beurre
Compote de pomme-poire
Lait",14.7,62,2.9,12.5596967756169
2024-10-16,Macédoine mayonnaise,Rôti de dinde au jus,Haricots verts,Fromage blanc,Fruit de saison,Madeleine/compote/ abricots/ lait,14.4,70,2.5,0.0
2024-10-17,Radis râpés au fromage blanc,Timbale milanaise de porc OU de Volaille OU Timballe végé*,,,"Île flottante, crème anglaise","Pain / beurre
Barre chocolatée
Lait",13.3,55,5.5,6.99916220758069
2024-10-18,"Salade grecque (concombre, tomate, féta)",Paëlla aux légumes,Salade verte,Yaourt à l'abricot,,Pain/ confiture de fraises/ lait,16.7,65,1.4,14.7016499534805
2024-10-19,Asperges / œuf,Paëlla de légumes,Salade verte,Edam,Clémentines,Pain d'épices/ lait ou chocolat chaud,11.7,86,5.3,22.3118010195542
2024-10-20,Pamplemousse,Œuf sauce aurore,Semoule,,Crème lactée au chocolat,Pain/ beurre/ barre chocolatée/ lait,9.60000000000002,81,2.7,0.0
2024-10-21,Tomates et féta,Bœuf bourguignon OU Omelette*,Pommes de terre persillées,,Chou à la crème,"Pain / beurre
Banane équitable
Lait",20.6,68,2.1,0.0
2024-10-22,Pamplemousse,Dos de cabillaud sauce crème,Julienne de légumes d'hiver,Semoule au lait,,Pain/ beurre/ barre chocolatée/ lait,8.80000000000001,83,7.2,0.0
2024-10-23,Salade de pâtes aux trois couleurs,Filet de saumon sauce crème,Choux-fleurs panachés,Crème pralinée,Galettes bretonnes,Pain/ beurre/ corbeille de fruits/ lait ou fromage,10.0,83,1.2,0.705625456126444
2024-10-24,Radis,Coquillettes bolognaises,,Morbier,Poire,Pain/ compote/ lait,11.8,79,6.2,0.0
2024-10-25,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,22.5,52,2.9,0.0
2024-10-26,Salade fromagère aux noix,Rôti de veau OU Omelette*,Légumes tajine,,Far aux pommes,Pain / confiture / banane équitable / lait,12.9,87,7.4,2.53328345862048
2024-10-27,Pâté de campagne,Filet de saumon sauce hollandaise,Purée de pommes de terre,Emmenthal,Poire,Madeleine/ compote/ lait,9.60000000000002,88,2.3,0.0
2024-10-28,Betteraves au miel,Rôti de porc OU Rôti de dinde OU Aiguillette de carottes*,Haricots blancs,Fromage,Fruit de saison,"Pain / beurre
Barre chocolatée
Lait",11.3,81,3.8,5.38177934234132
2024-10-29,Crème de carottes,Lasagnes de bœuf,Salade verte,Crème au chocolat,,Pain/ beurre/ barre chocolatée/ lait,10.9,61,2.3,0.0
2024-10-30,"Salade méli-mélo (carotte, céléri)",Paëlla,,Fromage,Compote pommes/ framboises,Pain/ beurre/ barre chocolatée/ lait,19.5,59,3.4,0.0
2024-10-31,Melon,Haricots blancs à la provençale*,Riz pilaf,Fromage blanc,,"Pain / beurre
Barre chocolatée
Lait",23.7,31,6.7,6.52971741168577
2024-11-01,Céleri rémoulade,Steak haché,Petits pois cuisinés,,Far nature,Pain/ beurre/ corbeille de fruits/ lait ou fromage,9.20000000000004,89,0.0,0.31865256087451
2024-11-02,Galantine de volaille et salade verte,Filet de lieu sauce tomate,Duo de semoule et brocolis,Fromage,Fruit de saison,"Pain / beurre
Corbeille de fruits
Lait ou fromage",13.0,68,9.2,2.88824576834504
2024-11-03,Céleri rémoulade,Brandade de poisson,Salade verte,,Grillé aux pommes,"Pain / confiture
Yaourt nature",8.20000000000005,95,2.8,0.0
2024-11-04,"Salade bicolore (Chou rouge et blanc, pomme, raisin sec)",Rôti de porc OU Rôti de dinde OU Galette de soja*,Haricots blancs,Fromage,Compote pomme-poire,"Pain / beurre
Barre chocolatée
Lait",16.2,90,3.2,1.13166250291313
2024-11-05,Betteraves au miel,Bolognaise végétale,Coquillettes,,Fruit de saison,"Pain / beurre
Barre chocolatée
Lait",21.4,60,5.1,0.0
2024-11-06,Pastèque,Saucisse,Lentilles,Crème chocolat,,Pain/ beurre/ corbeille de fruits/ lait ou fromage,17.3,68,3.3,0.0
2024-11-07,Maïs/ thon/ tomate,Escalope de porc ou volaille dijonnaise,Carottes ménagère,Fromage blanc,Kiwi,Cake aux pépites de chocolat/ lait,13.3,66,6.8,0.0
2024-11-08,Concombres vinaigrette,Aiguillettes de poulet,Taboulé,Crème type montblanc,Biscuits,,15.8,83,1.8,23.6306181983416
2024-11-09,Pâté de campagne cornichon OU Betteraves,Saumon,Épinards béchamel,Fromage,Fruit de saison,"Pain / beurre
Corbeille de fruit
Lait ou fromage",14.3,94,7.5,11.0573473257373
2024-11-10,Céleri vinaigrette,Poulet rôti label,Frites,Yaourt nature,,Pain/ confiture/ lait,10.9,65,2.4,18.7736978842174
2024-11-11,"Salade d'hiver (carotte, céleri, pomme, raisin sec, citron)",Filet de lieu à l'oseille,Brocolis en gratin,,Eclair au chocolat,Pain / beurre / banane / lait,6.10000000000002,79,2.5,17.6904255347798
2024-11-12,Asperge sauce mousseline,Émincé de poulet sauce colombo OU Boulette de lentilles*,Haricots beurre,,Banane équitable,"Pain / beurre
crème au chocolat",9.80000000000001,42,7.2,0.0
2024-11-13,Salade de pâtes au thon,Jambon braisé OU Rôti de dinde sauce barbecue,Jardinière de légumes d'été,Fromage,Fruit de saison,Pain / confiture / yaourt nature,19.5,78,2.5,0.0
2024-11-14,"Salade pasta (tagliatelle, tomate, haricot vert, poivron)",,Brocolis,,Crème vanille,Petit beurre/ yaourt sucré,17.9,68,1.3,1.41081995957445
